region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
World,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2030,Vehicles,170000000,Other
World,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,150000000,Other
China,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2030,Vehicles,91000000,Other
China,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,82000000,Other
World,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,82000000,Other
World,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,79000000,Other
World,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,79000000,Other
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,77000000,Other
World,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,69000000,Other
World,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,69000000,Other
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,68000000,Other
China,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,67000000,Other
China,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,67000000,Other
China,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,60000000,Other
China,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,60000000,Other
China,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,56000000,Other
World,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,53000000,Other
World,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,53000000,Other
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,52000000,Other
World,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,48000000,Other
World,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,48000000,Other
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,47000000,Other
China,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,46000000,Other
China,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,46000000,Other
India,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2030,Vehicles,43000000,Other
China,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,42000000,Other
China,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,42000000,Other
World,Historical,EV stock,Cars,BEV,2024,Vehicles,39000000,Other
World,Projection-STEPS,EV stock,Cars,BEV,2024,Vehicles,39000000,Other
World,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,38000000,Other
World,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,38000000,Other
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,37000000,Other
Europe,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,35000000,Other
China,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,33000000,Other
China,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,33000000,Other
Rest of the world,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2030,Vehicles,31000000,Other
